Data/Time,CPU usage %,Temperature C
2022-04-05 01:41:46.847709,16.4,40.4
2022-04-05 01:41:57.097621,20.3,39.9
2022-04-05 01:42:07.317766,15.7,39.9
2022-04-05 01:42:17.557784,17.2,39.9
2022-04-05 01:42:27.937656,17.2,39.9
2022-04-05 01:42:38.177697,16.8,39.9
2022-04-05 01:42:48.557808,16,39.4
2022-04-05 01:42:58.807637,16.7,39.9
2022-04-05 01:43:09.037934,17.6,39.9
2022-04-05 01:43:19.461159,16.7,40.4
2022-04-05 01:43:29.858233,17.2,39.9
2022-04-05 01:43:40.120296,16.1,39.9
2022-04-05 01:43:50.387627,16.8,40.4
2022-04-05 01:44:00.637634,17.2,39.4
2022-04-05 01:44:11.034900,16,39.9
2022-04-05 01:44:21.277567,16.7,40.9
2022-04-05 01:44:31.686296,17.2,39.9
2022-04-05 01:44:42.067761,16.7,39.4
2022-04-05 01:44:52.309395,17.3,40.4
2022-04-05 01:45:02.527621,16.6,39.9
2022-04-05 01:45:12.767604,16.8,39.9
2022-04-05 01:45:22.981017,16.8,40.4
2022-04-05 01:45:33.408519,19.4,41.8
2022-04-05 01:45:43.679348,15.9,40.4
2022-04-05 01:45:53.958235,18,41.3
2022-04-05 01:46:04.204316,17.3,39.9
2022-04-05 01:46:14.437601,18.8,40.4
2022-04-05 01:46:24.667713,20.8,41.8
2022-04-05 01:46:34.897767,19.6,40.9
2022-04-05 01:46:45.167712,20,39.9
2022-04-05 01:46:55.557677,20.2,39.9
2022-04-05 01:47:05.787741,22,39.4
2022-04-05 01:47:16.022172,20.7,39.9
2022-04-05 01:47:26.417705,20.8,40.4
2022-04-05 01:47:36.917132,23.9,39.4
2022-04-05 01:47:47.177641,16.6,39.9
2022-04-05 01:47:57.467646,16.5,39.9
2022-04-05 01:48:07.744223,16.7,41.3
2022-04-05 01:48:18.127633,16.3,39.4
2022-04-05 01:48:28.387638,16,40.9
2022-04-05 01:48:38.657488,15.4,40.4
2022-04-05 01:48:49.029295,15.6,39.9
2022-04-05 01:48:59.317619,16.5,40.9
2022-04-05 01:49:09.577597,16.8,39.9
2022-04-05 01:49:19.829353,20.1,40.9
2022-04-05 01:49:30.227941,17,40.9
2022-04-05 01:49:40.479424,16.4,40.9
2022-04-05 01:49:50.877652,17,39.4
2022-04-05 01:50:01.287814,17.7,40.4
2022-04-05 01:50:11.557590,16.3,40.4
2022-04-05 01:50:21.817628,15.6,39.9
2022-04-05 01:50:32.316707,17.8,40.4
2022-04-05 01:50:42.532587,16.7,40.9
2022-04-05 01:50:52.917603,17.3,39.4
2022-04-05 01:51:03.137586,17,39.9
2022-04-05 01:51:13.377676,17.4,39.4
2022-04-05 01:51:23.607643,17.4,38.9
2022-04-05 01:51:34.047639,17,39.9
2022-04-05 01:51:44.306444,16.8,40.4
2022-04-05 01:51:54.557676,19.2,39.9
2022-04-05 01:52:04.807638,17,40.4
2022-04-05 01:52:15.207679,16.9,39.4
2022-04-05 01:52:25.429348,17.8,40.9
2022-04-05 01:52:35.668628,27.8,40.4
2022-04-05 01:52:46.038974,26.7,40.4
2022-04-05 01:52:56.287752,27.5,39.9
2022-04-05 01:53:06.533587,26.5,40.9
2022-04-05 01:53:16.927611,20.5,39.9
2022-04-05 01:53:27.167631,16.2,39.9
2022-04-05 01:53:37.661877,15.7,40.4
2022-04-05 01:53:48.041845,14.8,40.9
